Date	Price	Open	High	Low	Change %
2-Mar-16	"13,290.00"	"13,295.00"	"13,325.00"	"13,255.00"	-0.45
1-Mar-16	"13,350.00"	"13,330.00"	"13,380.00"	"13,330.00"	-0.16
29-Feb-16	"13,372.00"	"13,380.00"	"13,410.00"	"13,371.00"	0.01
26-Feb-16	"13,370.00"	"13,380.00"	"13,406.00"	"13,360.00"	-0.3
25-Feb-16	"13,410.50"	"13,384.50"	"13,434.50"	"13,384.50"	-0.01
24-Feb-16	"13,412.50"	"13,427.50"	"13,457.50"	"13,407.50"	-0.09
23-Feb-16	"13,425.00"	"13,405.00"	"13,435.00"	"13,380.00"	-0.09
22-Feb-16	"13,437.50"	"13,482.50"	"13,490.50"	"13,422.50"	-0.43
19-Feb-16	"13,495.00"	"13,505.00"	"13,565.00"	"13,495.00"	0
18-Feb-16	"13,495.00"	"13,455.00"	"13,505.00"	"13,435.00"	-0.11
17-Feb-16	"13,510.00"	"13,445.00"	"13,515.00"	"13,445.00"	0.82
16-Feb-16	"13,400.00"	"13,305.00"	"13,415.00"	"13,295.00"	0.19
15-Feb-16	"13,375.00"	"13,460.00"	"13,490.00"	"13,375.00"	-0.85
12-Feb-16	"13,490.00"	"13,455.00"	"13,525.00"	"13,424.00"	0.2
11-Feb-16	"13,462.50"	"13,372.50"	"13,462.50"	"13,327.50"	0
10-Feb-16	"13,462.50"	"13,582.50"	"13,602.50"	"13,402.50"	-1.05
9-Feb-16	"13,605.00"	"13,663.00"	"13,713.00"	"13,603.00"	-0.15
8-Feb-16	"13,625.00"	"13,625.00"	"13,625.00"	"13,625.00"	0
5-Feb-16	"13,625.00"	"13,625.00"	"13,670.00"	"13,595.00"	-0.09
4-Feb-16	"13,637.50"	"13,672.50"	"13,682.50"	"13,632.50"	-0.93
3-Feb-16	"13,765.00"	"13,715.00"	"13,835.00"	"13,695.00"	0.57
2-Feb-16	"13,687.50"	"13,622.50"	"13,702.50"	"13,607.50"	0.37
1-Feb-16	"13,637.50"	"13,752.50"	"13,777.50"	"13,572.50"	-1
29-Jan-16	"13,775.00"	"13,805.00"	"13,855.00"	"13,755.00"	-0.72
28-Jan-16	"13,874.50"	"13,889.50"	"13,909.50"	"13,864.50"	-0.03
27-Jan-16	"13,878.50"	"13,851.50"	"13,891.50"	"13,846.50"	-0.15
26-Jan-16	"13,900.00"	"13,880.00"	"13,925.00"	"13,880.00"	0.2
